time,open,high,low,close,volume
2020-12-28 08:24:00-05:00,176.51,176.51,176.51,176.51,200
2020-12-28 08:55:00-05:00,177.02,177.04,177.02,177.04,1350
2020-12-28 09:11:00-05:00,177.29,177.29,177.29,177.29,100
2020-12-28 09:23:00-05:00,177.27,177.27,177.27,177.27,100
2020-12-28 09:27:00-05:00,177.28,177.28,177.28,177.28,100
2020-12-28 09:30:00-05:00,177.26,177.35,177.26,177.31,731
2020-12-28 09:31:00-05:00,177.39,177.39,177.35,177.35,529
2020-12-28 09:32:00-05:00,177.405,177.425,177.38,177.38,1114
2020-12-28 09:33:00-05:00,177.43,177.54,177.4,177.53,3320
2020-12-28 09:34:00-05:00,177.55,177.55,177.5,177.53,3115
2020-12-28 09:35:00-05:00,177.57,177.64,177.53,177.56,2477
2020-12-28 09:36:00-05:00,177.57,177.58,177.55,177.56,1829
2020-12-28 09:37:00-05:00,177.69,177.74,177.69,177.73,992
2020-12-28 09:38:00-05:00,177.705,177.75,177.705,177.74,1665
2020-12-28 09:39:00-05:00,177.725,177.73,177.7,177.73,505
2020-12-28 09:40:00-05:00,177.7,177.71,177.69,177.71,701
2020-12-28 09:41:00-05:00,177.63,177.63,177.6,177.605,1401
2020-12-28 09:42:00-05:00,177.56,177.57,177.49,177.5,1300
2020-12-28 09:43:00-05:00,177.51,177.55,177.49,177.49,1523
2020-12-28 09:44:00-05:00,177.53,177.55,177.51,177.55,1003
2020-12-28 09:45:00-05:00,177.535,177.535,177.48,177.49,2602
2020-12-28 09:46:00-05:00,177.51,177.51,177.51,177.51,353
2020-12-28 09:47:00-05:00,177.48,177.49,177.475,177.49,1175
2020-12-28 09:49:00-05:00,177.55,177.55,177.55,177.55,400
2020-12-28 09:50:00-05:00,177.54,177.54,177.54,177.54,101
2020-12-28 09:51:00-05:00,177.54,177.54,177.44,177.44,503
2020-12-28 09:52:00-05:00,177.29,177.29,177.29,177.29,350
2020-12-28 09:53:00-05:00,177.3,177.3,177.3,177.3,200
2020-12-28 09:54:00-05:00,177.33,177.33,177.26,177.3,2401
2020-12-28 09:55:00-05:00,177.3,177.37,177.3,177.37,400
2020-12-28 09:56:00-05:00,177.4,177.4,177.4,177.4,104
2020-12-28 09:57:00-05:00,177.48,177.48,177.48,177.48,187
2020-12-28 09:58:00-05:00,177.5,177.64,177.5,177.64,1001
2020-12-28 09:59:00-05:00,177.64,177.645,177.635,177.635,301
2020-12-28 10:00:00-05:00,177.68,177.8,177.68,177.76,711
2020-12-28 10:01:00-05:00,177.79,177.79,177.79,177.79,128
2020-12-28 10:02:00-05:00,177.73,177.81,177.73,177.79,750
2020-12-28 10:03:00-05:00,177.79,177.8,177.79,177.79,764
2020-12-28 10:04:00-05:00,177.79,177.79,177.79,177.79,170
2020-12-28 10:05:00-05:00,177.79,177.81,177.79,177.81,764
2020-12-28 10:06:00-05:00,177.83,177.83,177.83,177.83,297
2020-12-28 10:07:00-05:00,177.85,177.89,177.85,177.89,675
2020-12-28 10:08:00-05:00,177.83,177.83,177.82,177.82,205
2020-12-28 10:10:00-05:00,177.73,177.73,177.7,177.71,502
2020-12-28 10:11:00-05:00,177.73,177.76,177.73,177.76,570
2020-12-28 10:12:00-05:00,177.69,177.69,177.69,177.69,192
2020-12-28 10:13:00-05:00,177.62,177.62,177.59,177.59,300
2020-12-28 10:14:00-05:00,177.6,177.6,177.55,177.6,500
2020-12-28 10:15:00-05:00,177.63,177.63,177.63,177.63,100
2020-12-28 10:16:00-05:00,177.65,177.77,177.65,177.77,1002
2020-12-28 10:17:00-05:00,177.79,177.79,177.7,177.7,1033
2020-12-28 10:18:00-05:00,177.76,177.76,177.76,177.76,100
2020-12-28 10:19:00-05:00,177.77,177.77,177.64,177.64,3986
2020-12-28 10:20:00-05:00,177.64,177.7,177.64,177.67,1200
2020-12-28 10:21:00-05:00,177.63,177.63,177.63,177.63,200
2020-12-28 10:22:00-05:00,177.52,177.52,177.52,177.52,126600
2020-12-28 10:23:00-05:00,177.57,177.58,177.57,177.58,201
2020-12-28 10:24:00-05:00,177.54,177.57,177.54,177.57,302
2020-12-28 10:25:00-05:00,177.72,177.73,177.7,177.72,700
2020-12-28 10:26:00-05:00,177.65,177.65,177.61,177.61,469
2020-12-28 10:27:00-05:00,177.6,177.6,177.56,177.56,600
2020-12-28 10:28:00-05:00,177.61,177.61,177.61,177.61,100
2020-12-28 10:29:00-05:00,177.55,177.55,177.51,177.51,258
